Order Id,order date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Late_delivery_risk,Delivery Status,Cycle_Time_Variance,Delivery_Category
77202,1/31/2018 22:56,3,4,0,Advance shipping,-1,On-Time / Early
75939,1/13/2018 12:27,5,4,1,Late delivery,1,1 Day Late
75938,1/13/2018 12:06,4,4,0,Shipping on time,0,On-Time / Early
75937,1/13/2018 11:45,3,4,0,Advance shipping,-1,On-Time / Early
75936,1/13/2018 11:24,2,4,0,Advance shipping,-2,On-Time / Early
75935,1/13/2018 11:03,6,4,0,Shipping canceled,2,2+ Days Late
75934,1/13/2018 10:42,2,1,1,Late delivery,1,1 Day Late
75933,1/13/2018 10:21,2,1,1,Late delivery,1,1 Day Late
75932,1/13/2018 10:00,3,2,1,Late delivery,1,1 Day Late
75931,1/13/2018 9:39,2,1,1,Late delivery,1,1 Day Late
75930,1/13/2018 9:18,6,2,0,Shipping canceled,4,2+ Days Late
75929,1/13/2018 8:57,5,2,1,Late delivery,3,2+ Days Late
75928,1/13/2018 8:36,4,2,1,Late delivery,2,2+ Days Late
75927,1/13/2018 8:15,2,1,1,Late delivery,1,1 Day Late
75926,1/13/2018 7:54,2,1,1,Late delivery,1,1 Day Late
75925,1/13/2018 7:33,2,1,1,Late delivery,1,1 Day Late
75924,1/13/2018 7:12,5,2,1,Late delivery,3,2+ Days Late
75923,1/13/2018 6:51,2,1,1,Late delivery,1,1 Day Late
75922,1/13/2018 6:30,2,1,1,Late delivery,1,1 Day Late
75921,1/13/2018 6:09,0,0,0,Shipping on time,0,On-Time / Early
75920,1/13/2018 5:48,0,0,0,Shipping on time,0,On-Time / Early
75919,1/13/2018 5:27,5,4,1,Late delivery,1,1 Day Late
75918,1/13/2018 5:06,4,2,1,Late delivery,2,2+ Days Late
75917,1/13/2018 4:45,3,2,0,Shipping canceled,1,1 Day Late
75916,1/13/2018 4:24,2,2,0,Shipping canceled,0,On-Time / Early
75915,1/13/2018 4:03,6,2,1,Late delivery,4,2+ Days Late
75914,1/13/2018 3:42,5,2,1,Late delivery,3,2+ Days Late
75913,1/13/2018 3:21,4,4,0,Shipping on time,0,On-Time / Early
75912,1/13/2018 3:00,3,4,0,Advance shipping,-1,On-Time / Early
75911,1/13/2018 2:39,2,4,0,Advance shipping,-2,On-Time / Early
75910,1/13/2018 2:18,6,4,1,Late delivery,2,2+ Days Late
75909,1/13/2018 1:57,5,4,1,Late delivery,1,1 Day Late
75908,1/13/2018 1:36,4,4,0,Shipping on time,0,On-Time / Early
75907,1/13/2018 1:15,2,1,1,Late delivery,1,1 Day Late
75906,1/13/2018 0:54,2,1,1,Late delivery,1,1 Day Late
75905,1/13/2018 0:33,2,1,1,Late delivery,1,1 Day Late
75904,1/13/2018 0:12,2,1,1,Late delivery,1,1 Day Late
75903,1/12/2018 23:51,2,1,1,Late delivery,1,1 Day Late
75902,1/12/2018 23:30,1,0,1,Late delivery,1,1 Day Late
75901,1/12/2018 23:09,1,0,0,Shipping canceled,1,1 Day Late
75900,1/12/2018 22:48,1,0,1,Late delivery,1,1 Day Late
75899,1/12/2018 22:27,1,0,1,Late delivery,1,1 Day Late
75898,1/12/2018 22:05,4,4,0,Shipping on time,0,On-Time / Early
75897,1/12/2018 21:44,3,4,0,Advance shipping,-1,On-Time / Early
75896,1/12/2018 21:23,2,4,0,Advance shipping,-2,On-Time / Early
75895,1/12/2018 21:02,6,4,1,Late delivery,2,2+ Days Late
75894,1/12/2018 20:41,5,2,1,Late delivery,3,2+ Days Late
75893,1/12/2018 20:20,4,4,0,Shipping on time,0,On-Time / Early
28744,2/24/2016 13:57,5,2,1,Late delivery,3,2+ Days Late
45461,10/25/2016 14:39,2,2,0,Shipping on time,0,On-Time / Early
31115,3/30/2016 4:37,6,2,1,Late delivery,4,2+ Days Late
45766,10/30/2016 1:31,2,2,0,Shipping on time,0,On-Time / Early
47752,11/28/2016 1:18,3,2,1,Late delivery,1,1 Day Late
50054,12/31/2016 15:47,5,2,1,Late delivery,3,2+ Days Late
20365,10/25/2015 6:24,6,2,1,Late delivery,4,2+ Days Late
36146,6/11/2016 15:12,2,2,0,Shipping on time,0,On-Time / Early
41234,8/24/2016 21:45,5,2,1,Late delivery,3,2+ Days Late
32090,4/13/2016 10:12,6,2,1,Late delivery,4,2+ Days Late
34773,5/22/2016 14:10,4,2,1,Late delivery,2,2+ Days Late
44046,10/4/2016 22:55,2,2,0,Shipping on time,0,On-Time / Early
46414,11/8/2016 12:32,5,2,1,Late delivery,3,2+ Days Late
46599,11/11/2016 5:21,5,2,1,Late delivery,3,2+ Days Late
